energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
716.3,2.24211,1.3774,1.18022,1.25659,1.26343,704.4,1.21606,1.07295,1.1335,1.23214,1.21487,0.02343,,,,,,,,,,,
716.4,2.14678,1.257,1.19622,1.25753,1.19529,704.7,1.23644,1.05686,1.13469,1.27705,1.23187,-0.04471,,,,,,,,,,,
716.5,2.14444,1.34467,1.197,1.22694,1.19771,705,1.28506,1.12176,1.11808,1.25324,1.23167,-0.04229,,,,,,,,,,,
716.6,2.16222,1.3828,1.23478,1.23924,1.17929,,716.6,1.02222,0.3828,0.20478,-0.02076,-0.06071,,,,,,,,,,,
716.7,2.26222,1.32833,1.217,1.24571,1.191,,716.7,1.12222,0.32833,0.187,-0.01429,-0.049,,,,,,,,,,,
716.8,2.14611,1.31827,1.21722,1.25665,1.21957,,716.8,1.00611,0.31827,0.18722,-0.00335,-0.02043,,,,,,,,,,,
716.9,2.09967,1.32913,1.291,1.27465,1.27186,,716.9,0.95967,0.32913,0.261,0.01465,0.03186,,,,,,,,,,,
717,2.087,1.433,1.23111,1.23947,1.178,,717,0.947,0.433,0.20111,-0.02053,-0.062,,,,,,,,,,,
717.1,2.22,1.31827,1.19522,1.24565,1.22571,,717.1,1.08,0.31827,0.16522,-0.01435,-0.01429,,,,,,,,,,,
717.2,2.11311,1.3154,1.20733,1.23929,1.23857,,717.2,0.97311,0.3154,0.17733,-0.02071,-0.00143,,,,,,,,,,,
717.3,2.11078,1.30887,1.24311,1.23359,1.23,,717.3,0.97078,0.30887,0.21311,-0.02641,-0.01,,,,,,,,,,,
717.4,2.08056,1.288,1.244,1.23941,1.21086,,717.4,0.94056,0.288,0.214,-0.02059,-0.02914,,,,,,,,,,,
717.5,2.19178,1.29773,1.20744,1.21406,1.23443,,717.5,1.05178,0.29773,0.17744,-0.04594,-0.00557,,,,,,,,,,,
